Matching Group,Number of sentences,Proportion of book (by words),Proportion of book (by sentences)
"(0.0, 0.05]",0,0.0,0.0
"(0.05, 0.1]",0,0.0,0.0
"(0.1, 0.15]",0,0.0,0.0
"(0.15, 0.2]",1,0.0016288610038610039,0.0013003901170351106
"(0.2, 0.25]",0,0.0,0.0
"(0.25, 0.3]",0,0.0,0.0
"(0.3, 0.35]",4,0.009773166023166023,0.005201560468140442
"(0.35, 0.4]",1,0.0009652509652509653,0.0013003901170351106
"(0.4, 0.45]",7,0.009471525096525097,0.009102730819245773
"(0.45, 0.5]",24,0.031491312741312734,0.031209362808842653
"(0.5, 0.55]",28,0.03854971042471043,0.036410923276983094
"(0.55, 0.6]",50,0.046874999999999986,0.06501950585175553
"(0.6, 0.65]",72,0.08325289575289578,0.09362808842652796
"(0.65, 0.7]",71,0.06690395752895753,0.09232769830949285
"(0.7, 0.75]",78,0.08856177606177613,0.10143042912873862
"(0.75, 0.8]",66,0.06449083011583011,0.0858257477243173
"(0.8, 0.85]",63,0.07094594594594593,0.08192457737321196
"(0.85, 0.9]",45,0.053511100386100394,0.05851755526657997
"(0.9, 0.95]",53,0.07263513513513513,0.06892067620286085
"(0.95, 1.0]",206,0.2379946911196911,0.26788036410923277
